month,year,daily_temp,daily_rain,daily_hum,daily_press,daily_windDir,daily_windSp,daily_DHI,daily_DNI,daily_GHI
11,2019,15.5,16.6,68.5,984.6,233.8,3.7,117.8,280.4,208.5
12,2020,9.0,11.6,78.4,982.8,274.0,5.0,80.3,0.0,80.3
6,2021,27.0,22.9,45.3,991.8,292.6,2.5,100.3,668.3,556.5
4,2021,16.9,14.5,54.8,995.7,248.7,1.7,97.4,644.0,477.0
11,2020,16.5,16.7,76.9,998.7,297.5,1.6,113.9,351.8,248.5
8,2021,27.7,28.1,51.7,990.0,261.7,4.2,189.9,332.2,417.8
11,2019,14.3,15.4,72.1,983.3,278.5,5.0,125.6,334.4,256.3
8,2020,27.8,23.4,52.9,988.9,265.4,2.9,89.6,582.7,482.4
1,2021,11.8,14.4,79.9,993.5,297.6,6.9,71.0,0.0,71.0
9,2019,25.2,31.4,57.8,993.6,65.7,3.5,132.3,452.5,397.5
9,2020,27.4,25.8,45.1,997.4,51.2,3.0,127.2,500.1,429.0
1,2021,12.4,21.1,89.4,980.8,210.0,10.0,79.8,0.0,79.8
12,2019,13.4,19.9,81.4,972.9,264.1,10.6,82.3,10.1,83.5
2,2020,11.9,12.0,71.5,998.9,254.3,3.4,196.0,254.8,281.3
8,2021,26.4,28.9,55.9,987.3,277.1,3.0,96.2,585.5,495.3
5,2021,18.1,13.1,46.8,994.4,227.5,2.0,86.6,661.3,551.0
8,2021,25.6,25.2,38.3,991.4,136.7,2.4,170.9,382.2,455.3
11,2021,15.2,19.2,73.8,990.2,106.2,3.7,114.3,226.0,199.9
9,2019,22.7,28.9,60.5,991.4,277.9,4.8,124.5,482.5,383.8
6,2021,25.8,25.1,43.1,996.4,149.5,2.4,135.9,493.5,501.7
10,2020,15.9,25.4,75.8,983.5,186.5,4.2,69.0,0.0,69.0
2,2021,7.7,11.7,65.4,1004.7,219.2,3.3,159.5,216.2,238.1
5,2020,19.9,10.1,42.4,993.9,77.7,1.5,109.7,562.7,517.7
9,2020,26.6,21.3,43.8,995.4,256.3,2.0,124.1,514.2,431.8
3,2021,10.8,9.4,72.9,991.8,312.8,2.8,177.8,326.1,328.3
